Unnamed: 0,month_date_yyyymm,county_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
,202309,"hampshire, ma",515725,141,26,136,0,52,273,1829,553906,173
,202309,"plymouth, ma",700000,603,32,500,8,208,360,2124,1011434,747
,202309,"franklin, ma",392450,76,44,44,0,24,216,1993,845171,94
,202309,"barnstable, ma",939000,762,49,508,8,220,541,1891,1668834,1337
,202309,"nantucket, ma",5200000,132,61,36,0,24,1633,3448,7092371,142
,202309,"worcester, ma",510000,770,25,764,12,304,272,1895,599240,958
,202309,"essex, ma",797000,591,22,740,0,184,392,2035,1213686,731
,202309,"suffolk, ma",989000,1158,46,728,4,336,901,1300,2018188,1277
,202309,"norfolk, ma",899000,665,30,668,8,192,442,2124,1463483,806
,202309,"berkshire, ma",522450,365,53,108,0,96,277,1935,992913,581
,202309,"bristol, ma",550000,434,31,404,8,128,303,1980,691862,541
,202309,"middlesex, ma",968500,1364,24,1524,20,500,469,2230,1434889,1617
,202309,"dukes, ma",2810000,194,75,52,0,44,1269,2338,4441180,231
,202309,"hampden, ma",332450,353,29,372,0,156,210,1670,405884,463
,202308,"dukes, ma",2776800,189,68,48,0,34,1222,2277,4299871,221
,202308,"nantucket, ma",4995000,129,59,38,0,18,1631,3453,7002926,137
,202308,"essex, ma",794450,533,24,626,4,128,387,2096,1211469,661
,202308,"barnstable, ma",924950,719,54,424,6,214,544,1884,1769266,1265
,202308,"franklin, ma",359900,80,35,58,0,16,218,1640,782923,99
,202308,"plymouth, ma",722000,567,30,542,10,160,368,2079,1018377,731
,202308,"norfolk, ma",881950,600,32,504,18,174,428,2234,1453400,730
,202308,"suffolk, ma",993500,1075,59,462,8,220,917,1290,2099780,1176
,202308,"hampshire, ma",523500,136,35,128,2,42,273,1841,557655,166
,202308,"worcester, ma",519925,704,19,816,2,224,274,1882,601853,891
,202308,"berkshire, ma",519675,365,50,184,2,118,279,1985,1011323,605
,202308,"hampden, ma",339950,341,23,416,6,134,209,1673,408020,452
,202308,"bristol, ma",550000,400,25,436,10,98,305,2000,700664,526
,202308,"middlesex, ma",966225,1201,31,1062,26,328,461,2196,1396500,1423
,202307,"plymouth, ma",705000,557,32,476,8,152,367,2025,974400,738
